,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
47,Tim Hardwick,Apple Planning Smart Glasses and AirPods With Cameras for 2027,"Apple is working on smart glasses and AirPods with built-in cameras for a potential release in 2027, according to Bloomberg's Mark Gurman. The devices are said to be part of Apple's efforts to expand its augmented reality product lineup beyond the Vision Pro …",https://www.macrumors.com/2024/10/14/apple-smart-glasses-airpods-cameras-2027/,https://images.macrumors.com/t/9uJqMj4VFJjMbPcQi5cTqaPUB18=/2500x/article-new/2021/01/Apple-Glasses-Triad-Feature.jpg,2024-10-14T09:02:36Z,"Apple is working on smart glasses and AirPods with built-in cameras for a potential release in 2027, according to Bloomberg's Mark Gurman. The devices are said to be part of Apple's efforts to expand… [+1979 chars]",,MacRumors
48,Hartley Charlton,Apple TV+ Shares First Trailer for 'Silo' Season 2,"Apple TV+ today released the first trailer for the second season of its globally acclaimed drama original series ""Silo,"" which is set to premiere on November 15, 2024.






Based on Hugh Howey's ""Wool"" series of dystopian novels, Silo tells the story of the…",https://www.macrumors.com/2024/10/14/first-trailer-for-silo-season-2/,https://images.macrumors.com/t/zVXbCC4DJADSpOpys59otgep46k=/1600x/article-new/2024/10/silo-season-2-trailer.jpeg,2024-10-14T14:53:54Z,"Apple TV+ today released the first trailer for the second season of its globally acclaimed drama original series ""Silo,"" which is set to premiere on November 15, 2024.
Based on Hugh Howey's ""Wool"" s… [+812 chars]",,MacRumors
49,Samantha Kelly,Apple Reportedly Developing Smart Glasses to Rival Meta's Ray-Bans,But a 2027 timeline could give Meta the advantage for years.,https://www.cnet.com/tech/mobile/apple-reportedly-developing-smart-glasses-to-rival-metas-ray-bans/,https://www.cnet.com/a/img/resize/368ed456b3ba682bbf3c1515a85cb8f87bccd0bc/hub/2024/04/20/ac92ec88-f962-4973-b992-009ba8020bdb/applevisionpro-purple-lime.jpg?auto=webp&fit=crop&height=675&width=1200,2024-10-14T21:34:51Z,Apple is reportedly aiming to launch smart glasses designed with broader mass-market appeal than its Vision Pro headset. The company intends to pour some of the billion dollar R&amp;D investment from… [+1333 chars],,CNET
50,Mitchel Broussard,"Apple Pencil Pro Hits New All-Time Low Price of $89.99, Plus More Accessory Deals","Amazon this weekend has introduced a new record low price for the Apple Pencil Pro, available for $89.99, down from $129.00. Alongside this deal, we're tracking a collection of Apple accessory discounts, including great deals on the Magic Keyboard and MagSafe…",https://www.macrumors.com/2024/10/12/apple-pencil-pro-new-low-price-2/,https://images.macrumors.com/t/05MlP04VQXqolwj-KYQ10TJS3kw=/2500x/article-new/2024/10/accessories-prime-day.jpeg,2024-10-12T17:02:03Z,"Amazon this weekend has introduced a new record low price for the Apple Pencil Pro, available for $89.99, down from $129.00. Alongside this deal, we're tracking a collection of Apple accessory discou… [+1646 chars]",,MacRumors
51,Juli Clover,"Apple Hosts Secretive Conferences to Teach Law Enforcement How to Better Use iPhone, CarPlay and Vision Pro for Police Work","Apple in 2023 hosted a ""Global Police Summit"" to help police agencies around the world better take advantage of Apple products for police work like surveillance, reports Forbes. The meeting was held in October 2023 at Apple Park, and it preceded the Internati…",https://www.macrumors.com/2024/10/10/apple-law-enforcement-conferences/,https://images.macrumors.com/t/j8BhXAnpz7L4fUbW-oQ1I_bvjwk=/3840x/article-new/2024/09/iphone-16-hands-on-front.jpg,2024-10-10T18:57:57Z,"Apple in 2023 hosted a ""Global Police Summit"" to help police agencies around the world better take advantage of Apple products for police work like surveillance, reports Forbes. The meeting was held … [+2682 chars]",,MacRumors
52,tips@androidcentral.com (Nickolas Diaz),Amazon's Apple TV Plus add-on for Prime Video is a huge content library expansion,Amazon announced its plans to bring an Apple TV Plus add-on to its Prime Video subscribers.,https://www.androidcentral.com/streaming-tv/amazon-prime-video-apple-tv-plus-add-on-detailed,https://cdn.mos.cms.futurecdn.net/YFTTF9qXeaniuezXUpDSoM-1200-80.jpg,2024-10-10T19:56:16Z,"What you need to know
<ul><li>Amazon announced that it plans to bring an Apple TV Plus add-on to Prime Video subscribers.</li><li>This brings a host of Apple TV Plus shows, Original films, MLS Seaso… [+2897 chars]",,Android Central
53,James Bricknell,The 9th-Gen iPad Is My Kid's Favorite Toy and It's Still Massively Discounted After Prime Day,"She abuses the device but also loves the Apple tablet more than life. For $200, it's basically a steal.",https://www.cnet.com/deals/the-9th-gen-ipad-is-my-kids-favorite-toy-and-its-still-massively-discounted-after-prime-day/,https://www.cnet.com/a/img/resize/155ce3715b0975c0642ee4e927533f004f37c420/hub/2023/11/22/933c86b5-9ddc-4483-b2b0-ff114d2c533b/ipad-9-gen-kids-toy.jpg?auto=webp&fit=crop&height=675&width=1200,2024-10-10T19:32:21Z,"If the sight of this image upsets you, I understand. Believe me when I tell you this is the image of a well-loved and well-used part of my daughter Emma's life. This ninth-gen iPad has been with her … [+2147 chars]",,CNET
54,Juli Clover,Apple Intelligence: What to Know About Summaries and Smart Replies,"Summaries and smart reply options aren't the flashiest of Apple Intelligence features, but these are capabilities that Apple is introducing in iOS 18.1 that have the potential to be useful for most people's day-to-day device usage.





Summaries

Summaries a…",https://www.macrumors.com/guide/apple-intelligence-smart-replies-summaries/,https://images.macrumors.com/t/QXQ3qDkhrxMrGY5_SLp7tyYc6bg=/1600x/article-new/2024/09/apple-intelligence-black.jpeg,2024-10-11T20:40:16Z,"Summaries and smart reply options aren't the flashiest of Apple Intelligence features, but these are capabilities that Apple is introducing in iOS 18.1 that have the potential to be useful for most p… [+5619 chars]",,MacRumors
55,Juli Clover,Win an Apple Watch Series 10 and Nylon Band From Southern Straps,"For this week's giveaway, we've teamed up with Southern Straps to give MacRumors readers a chance to win one of Apple's new Apple Watch Series 10 models and a Southern Straps band to go along with it. Southern Straps has been producing high-quality bands for …",https://www.macrumors.com/2024/10/11/macrumors-giveaway-southern-straps-october-2024/,https://images.macrumors.com/t/P3ikPax7NdAbsDXqBSlKaLwds8I=/3415x/article-new/2023/10/southern-straps-nylon-band-3.jpg,2024-10-11T16:13:14Z,"For this week's giveaway, we've teamed up with Southern Straps to give MacRumors readers a chance to win one of Apple's new Apple Watch Series 10 models and a Southern Straps band to go along with it… [+3087 chars]",,MacRumors
56,Amanda Hoover,The market for used phones is growing. Apple should be scared.,The market for refurbished phones is taking off. That should make Apple scared.,https://www.businessinsider.com/refurbished-iphones-market-apple-sales-slump-android-cell-phones-cheaper-2024-10,https://i.insider.com/670e8e81a70318649282008b?width=1200&format=jpeg,2024-10-16T09:55:01Z,"faustudio/Getty, Mensent Photography/Getty, svetolk/Getty, Tyler Le/BI
""Every once in a while, a revolutionary product comes along that changes everything,"" Steve Jobs said when he unveiled the iPho… [+8353 chars]",business-insider,Business Insider
57,Mike Fazioli,"Small Price for Millions of Free Content with BitMar’s AI-Powered Content Finder, Just $15!","StackSocial is giving away lifetime access to this AI-powered content finder with millions of shows, movies, songs, and more for just $15.",https://gizmodo.com/small-price-for-millions-of-free-content-with-bitmars-ai-powered-content-finder-just-15-2000512074,https://gizmodo.com/app/uploads/2024/10/Untitled-design-11.jpg,2024-10-15T17:28:37Z,"If someone came to you and said they had the key to streaming millions literally millions of free shows, movies, channels, videos, and songs from web sources all over the world, your first thought mi… [+2321 chars]",,Gizmodo.com
58,msmash,Apple Study Reveals Critical Flaws in AI's Logical Reasoning Abilities,"Apple's AI research team has uncovered significant weaknesses in the reasoning abilities of large language models, according to a newly published study. MacRumors: The study, published on arXiv [PDF], outlines Apple's evaluation of a range of leading language…",https://apple.slashdot.org/story/24/10/15/1840242/apple-study-reveals-critical-flaws-in-ais-logical-reasoning-abilities,https://a.fsdn.com/sd/topics/ai_64.png,2024-10-15T19:21:00Z,"The funny thing is... Somehow our ability to reason is an emergent property of weighted connections in a network. Because we don't understand how that happens, we don't know why it isn't happening wi… [+276 chars]",,Slashdot.org
59,Joe Rossignol,iPad Pro and Apple Pencil Pro Used to Design Seven NHL Goalie Masks Shown in This New Ad,"Apple today shared a new ad that highlights how artists used the iPad Pro and Apple Pencil Pro to design personalized artwork for seven NHL goalie masks being worn during the 2024-25 season. The artwork was then hand painted onto the masks.






The goalie …",https://www.macrumors.com/2024/10/11/nhl-goalie-mask-artwork-made-on-ipad/,https://images.macrumors.com/t/HYyNj5terNZ52JGrXrVTRnMye1w=/1600x/article-new/2024/10/Made-on-iPad-NHL-Goalie-Masks.jpg,2024-10-11T14:14:32Z,Apple today shared a new ad that highlights how artists used the iPad Pro and Apple Pencil Pro to design personalized artwork for seven NHL goalie masks being worn during the 2024-25 season. The artw… [+650 chars],,MacRumors
60,Liz Kocan,"Unsure What to Watch This Week? Stream The Lincoln Lawyer, Shrinking, Maxxxine and More","Don't miss the latest on Netflix, Apple TV Plus, Peacock and other streamers. Here's what's coming to streaming the week of Oct. 14 to Oct. 20.",https://www.cnet.com/tech/services-and-software/unsure-what-to-watch-this-week-stream-lincoln-lawyer-shrinking-maxxxine-more/,https://www.cnet.com/a/img/resize/069eac752b547d8b57df382165c2ad462f2b3960/hub/2024/10/09/2f74f079-71d0-4354-9133-f2fca79e750e/shrinking.jpg?auto=webp&fit=crop&height=675&width=1200,2024-10-13T12:00:03Z,"There's so much great stuff to watch this week across all the streaming services, from Netflix to Apple TV Plus to Peacock. Whether you're looking for more horror to prepare you for Halloween, or a f… [+1285 chars]",,CNET
61,"jzinkula@insider.com (Jacob Zinkula,Alistair Barr)",Apple's Made-in-the-USA chips signal a turnaround for the US' big semiconductor bet,"TSMC's US chip production for Apple is ""a success story,"" said an analyst. And it's key to the Biden administration's domestic chips efforts.",https://www.businessinsider.com/tsmc-making-apple-iphone-chips-helps-us-semiconductor-bet-2024-10,https://i.insider.com/670ed20aa703186492829bdf?width=1200&format=jpeg,2024-10-16T09:39:28Z,"The US's efforts to produce more semiconductor chips have encountered some challenges over the past few years, but the tide may be turning.
TSMC, the world's leading chipmaker, has begun producing A… [+5494 chars]",business-insider,Business Insider
62,,Apple teases when iOS 18.1 update will arrive with Apple Intelligence features,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_9eddce14-1993-49c9-be0e-df9ad9a553a2,,2024-10-16T20:41:47Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",,Yahoo Entertainment
63,Katherine Tangalakis-Lippert,Chelsea Manning avoids Google and Microsoft — and says she prefers Apple products for cybersecurity,"Chelsea Manning is the face of a new VPN called Nym. She's also speaking out about cybersecurity in general, saying she deems Apple products the best.",https://www.businessinsider.com/cybersecurity-chelsea-manning-avoid-google-microsoft-favor-apple-vpn-privacy-2024-10,https://i.insider.com/670f034da70318649282a9d8?width=1024&format=jpeg,2024-10-16T00:24:50Z,"Chelsea Manning says she thinks Apple has the best security among Big Tech companies — and says she avoids Microsoft and Google products.Getty Images
<ul><li>Chelsea Manning is the face of a new VPN… [+5126 chars]",business-insider,Business Insider
64,Jordan Hart,Tim Cook is having a great week as Apple stock hovers within reach of record high,"IDC recently estimated that iPhone shipments rose 3.5% in the third quarter, and analysts are optimistic about holiday sales and Apple Intelligence.",https://www.businessinsider.com/iphone-demand-shipments-holidays-apple-intelligence-analysts-optimistic-2024-10,https://i.insider.com/670fd21d6ac7b701e7cc17d1?width=1200&format=jpeg,2024-10-17T10:21:01Z,"Wall Street analysts expect Apple to get a boost from the rollout of its generative AI features, called Apple Intelligence.Michael M. Santiago/Getty Images
<ul><li>IDC recently estimated that iPhone… [+4121 chars]",business-insider,Business Insider
65,Juli Clover,iOS 18.1 Includes Option to Set 'Primary' Email Address and Change iCloud Email,"In iOS 18.1, there is a new option to set a ""Primary"" email address in the Settings app, which means it is easier to change the main email address associated with your Apple Account. The Primary email address is the one that is visible to other people when co…",https://www.macrumors.com/2024/10/11/ios-18-1-primary-email-address/,https://images.macrumors.com/t/WqlJ_vwQ83zb8zUPai47G6eFU0k=/2000x/article-new/2024/10/ios-18-1-make-primary.jpg,2024-10-11T22:55:19Z,"In iOS 18.1, there is a new option to set a ""Primary"" email address in the Settings app, which means it is easier to change the main email address associated with your Apple Account. The Primary emai… [+1120 chars]",,MacRumors
66,Joe Rossignol,Apple's Supply Chain Gears Up for MacBook Pro Models With M4 Chips,"Apple's supply chain is gearing up for new MacBook Pro models with M4 chips, which are expected to be announced this month, according to DigiTimes.





""Apple is expected to unveil new MacBook Pro models equipped with the latest M4 chip in October, which cou…",https://www.macrumors.com/2024/10/16/m4-macbook-pro-supply-chain-report/,https://images.macrumors.com/t/ioCiSxI7bwOKwbWI8hOW5_n9W2o=/1600x/article-new/2023/10/m3-mbp-space-black.jpg,2024-10-16T15:36:25Z,"Apple's supply chain is gearing up for new MacBook Pro models with M4 chips, which are expected to be announced this month, according to DigiTimes.
""Apple is expected to unveil new MacBook Pro model… [+1441 chars]",,MacRumors
67,michael.hicks@futurenet.com (Michael L Hicks),Garmin might beat Apple and Samsung to this watch display milestone — but there's reason for skepticism,"Since the Garmin Fenix 8 launched in August 2024, we've seen several leaks suggesting Garmin might sell a ""Fenix 8 MicroLED."" Despite the convincing evidence, there's reasons to doubt whether Garmin can pull this off, based on Apple and Samsung's struggles wi…",https://www.androidcentral.com/wearables/garmin-leak-suggests-fenix-8-microled-watch-coming-but-reasons-for-skepticism,https://cdn.mos.cms.futurecdn.net/e5ZNbibquFyQLLZHdiG8qe-1200-80.jpg,2024-10-10T15:14:03Z,"What you need to know
<ul><li>Garmin watch face developers have spotted and leaked official references to new ""Garmin fēnix 8 MicroLED"" and ""tactix 8 — AMOLED"" watches.</li><li>A previous leak sugge… [+5735 chars]",,Android Central
68,Hartley Charlton,iPad Mini 6 vs. iPad Mini 7 Buyer's Guide: 20 Changes Compared,"Apple today revealed the seventh-generation iPad mini, introducing several significant upgrades that make it a standout from its predecessor. Here's everything that's new.





At the core of the new device is the A17 Pro chip, first introduced last year in t…",https://www.macrumors.com/guide/ipad-mini-6-vs-7/,https://images.macrumors.com/t/6HG_Q1iBJKlN5N1rvgWDPus9AEc=/2500x/article-new/2024/10/iPad-mini-6-vs-7-Feature.jpg,2024-10-15T14:18:42Z,"Apple today revealed the seventh-generation iPad mini, introducing several significant upgrades that make it a standout from its predecessor. Here's everything that's new.
At the core of the new dev… [+5605 chars]",,MacRumors
69,MacRumors Staff,"Top Stories: iOS 18.1 Release Date, New Macs Incoming, and More","Things are firming up for a big Halloween week for Apple, with the company's next operating system updates reportedly coming early in the week and hardware launches coming a few days later.





Ahead of those hardware launches, we've recently seen what appea…",https://www.macrumors.com/2024/10/12/top-stories-ios-18-1-release-date/,https://images.macrumors.com/t/ErEC5GfeOnH8Fpm_ir7mEEfGIUw=/1600x/article-new/2024/10/top-stories-12oct2024.jpg,2024-10-12T13:00:00Z,"Things are firming up for a big Halloween week for Apple, with the company's next operating system updates reportedly coming early in the week and hardware launches coming a few days later.
Ahead of… [+4759 chars]",,MacRumors
70,Kyle Barr,"This Bracelet Allows You to ‘Touch’ a Loved One, No Matter Where You Are","The Bond Touch 4 bracelet lets you send “touches” to loved ones, and the updated version includes better ‘touch sensitivity.’",https://gizmodo.com/this-bracelet-allows-you-to-touch-a-loved-one-no-matter-where-you-are-2000510571,https://gizmodo.com/app/uploads/2024/10/Bond-Touch-4-hands-holding-2.jpg,2024-10-10T18:10:00Z,"Im still waiting for the device that will let me reach out and touch faith, as Depeche Mode once sang. Instead, were still beholden to this mortal coil, lingering in a state where one may long for ph… [+2783 chars]",,Gizmodo.com
71,David Nield,How to lock any app with Face ID on an iPhone using iOS 18,The new Face ID lock in iOS 18 lets you get your iPhone to ask for biometric authentication whenever a particular app is launched.,https://www.theverge.com/24267102/iphone-ios-18-lock-app-how-to,https://cdn.vox-cdn.com/thumbor/A55zAsvOduPsZkHtdSp6PdPaixY=/0x0:2040x1360/1200x628/filters:focal(1020x680:1021x681)/cdn.vox-cdn.com/uploads/chorus_asset/file/23986267/HT015_S_Haddad_ios_iphone_apps.jpg,2024-10-11T14:26:42Z,"Illustration by Samar Haddad / The Verge

 

 Having to hand your iPhone over to someone can be a fairly common occurrence. Maybe your little nephew wants to play a game or your friend wants to chec… [+3930 chars]",the-verge,The Verge
72,Joe Rossignol,"iPad Mini 7 Has These 6 Smaller Changes, Including a Faster USB-C Port","Apple today introduced the iPad mini 7 with a faster A17 Pro chip, Apple Intelligence support, and Apple Pencil Pro support. In addition, the device also received a handful of smaller upgrades and changes compared to the previous model, as outlined below.



…",https://www.macrumors.com/2024/10/15/ipad-mini-7-smaller-changes/,https://images.macrumors.com/t/L99L4pjjqPYrPrlk534nWTBeJOY=/1920x/article-new/2024/10/ipad-mini-7-feature.jpg,2024-10-15T15:18:16Z,"Apple today introduced the iPad mini 7 with a faster A17 Pro chip, Apple Intelligence support, and Apple Pencil Pro support. In addition, the device also received a handful of smaller upgrades and ch… [+2972 chars]",,MacRumors
73,Tim Hardwick,iOS 18: Use New Library and Notes Features in Apple Maps,"Apple Maps in iOS 18 introduces two helpful new features: a centralized Library for saved content and the ability to add personal notes to locations. Here's how to take advantage of these new tools.





Using the New Library

Apple's iOS 18 update brings sig…",https://www.macrumors.com/how-to/ios-add-place-notes-apple-maps-library/,https://images.macrumors.com/t/HZah0Dp2y7FjQZPl13-X9xCA6UM=/2500x/article-new/2024/08/Generic-iOS-18-Maps-Feature.jpg,2024-10-14T14:40:25Z,"Apple Maps in iOS 18 introduces two helpful new features: a centralized Library for saved content and the ability to add personal notes to locations. Here's how to take advantage of these new tools.… [+1961 chars]",,MacRumors
74,Tim Hardwick,"Apple Cuts Entry-Level iPad Price in Europe, Removes Charger From Box","Yesterday we noted that the new iPad mini 7 does not come with a charger in the box when sold in European countries, and it turns out the same now also applies to entry-level iPads sold by Apple across the continent.





Since its release in 2022, Apple's mo…",https://www.macrumors.com/2024/10/16/apple-reduces-pad-price-europe-no-charger/,https://images.macrumors.com/t/JzA_V6lKHd411fZhXVRhPiCLeXM=/2500x/article-new/2024/08/ipad-10th-gen-blue.jpg,2024-10-16T11:41:40Z,"Yesterday we noted that the new iPad mini 7 does not come with a charger in the box when sold in European countries, and it turns out that the same now also applies to entry-level iPads sold by Apple… [+1320 chars]",,MacRumors
75,Juli Clover,Surgeons at UCSD Find Apple Vision Pro Promising for Minimally Invasive Surgery,"Surgeons at the University of California, San Diego have been testing the Apple Vision Pro for surgeries, and have performed more than 20 minimally invasive operations while wearing the headsets. Surgeon and director of the Center for Future Surgery at UCSD, …",https://www.macrumors.com/2024/10/16/ucsd-surgeons-apple-vision-pro/,https://images.macrumors.com/t/U5F834H-I5zpL52LdtY8A2yZvIk=/1600x/article-new/2024/10/vision-pro-survery-ucsd.jpg,2024-10-16T18:45:55Z,"Surgeons at the University of California, San Diego have been testing the Apple Vision Pro for surgeries, and have performed more than 20 minimally invasive operations while wearing the headsets. Sur… [+1782 chars]",,MacRumors
76,Joe Rossignol,Apple's Pro Display XDR is Nearly Five Years Old With No Update in Sight,"Apple sells two external displays, including the Pro Display XDR and the Studio Display, but neither has received hardware upgrades in years. In fact, the Pro Display XDR is nearly five years old, having been released all the way back in December 2019.





B…",https://www.macrumors.com/2024/10/11/pro-display-xdr-is-nearly-five-years-old/,https://images.macrumors.com/t/DXlOabFQMWgo4IcLruj8ixndpJ0=/1600x/article-new/2024/01/Pro-Display-XDR-Gray.jpg,2024-10-11T19:46:20Z,"Apple sells two external displays, including the Pro Display XDR and the Studio Display, but neither has received hardware upgrades in years. In fact, the Pro Display XDR is nearly five years old, ha… [+2495 chars]",,MacRumors
77,BeauHD,Chinese Hack of US ISPs Show Why Apple Is Right About Backdoors,Alypius shares a report from 9to5Mac: It was revealed this weekend that Chinese hackers managed to access systems run by three of the largest internet service providers (ISPs) in the US. What's notable about the attack is that it compromised security backdoor…,https://apple.slashdot.org/story/24/10/10/025236/chinese-hack-of-us-isps-show-why-apple-is-right-about-backdoors,https://a.fsdn.com/sd/topics/iphone_64.png,2024-10-10T10:00:00Z,It was revealed this weekend that Chinese hackers managed to access systems run by three of the largest internet service providers (ISPs) in the US. What's notable about the attack is that it comprom… [+1224 chars],,Slashdot.org
78,Lloyd Lee,"Apple's chief people officer, who reports directly to Tim Cook, is leaving the company after less than 2 years","Carol Surface, Apple's chief people officer, is leaving the company after a short tenure. Her departure comes as other senior execs are making moves.",https://www.businessinsider.com/apple-chief-people-officer-leaving-carol-surface-executive-2024-10,https://i.insider.com/671045013f2165d716e26278?width=1200&format=jpeg,2024-10-16T23:48:56Z,"Carol Surface, Apple's chief people officer, seen in 2007, is leaving the company.May Tse/South China Morning Post via Getty Images
<ul><li>Apple Chief People Officer Carol Surface is leaving after … [+2076 chars]",business-insider,Business Insider
79,Tim Hardwick,FIDO Alliance Working on Making Passkeys Portable Across Platforms,"The FIDO Alliance is developing new specifications to enable secure transfer of passkeys between different password managers and platforms. Announced on Monday, the initiative is the result of collaboration among members of the FIDO Alliance's Credential Prov…",https://www.macrumors.com/2024/10/15/fido-alliance-portable-passkeys-across-platforms/,https://images.macrumors.com/t/eds0HbFtrNRlnYjIoOTfZc4BWdI=/1920x/article-new/2022/08/ios-16-passkeys-websites.jpg,2024-10-15T11:58:33Z,"The FIDO Alliance is developing new specifications to enable secure transfer of passkeys between different password managers and platforms. Announced on Monday, the initiative is the result of collab… [+1509 chars]",,MacRumors
80,Aashna Gheewalla,Last Chance to Score the Highly Rated Beats Solo 3 Headphones for Less Than $100,"Anti-Prime Day sales at Walmart might be starting to wrap up, but some deals -- like over 50% off Beats headphones -- are sticking around a bit longer.",https://www.cnet.com/deals/last-chance-to-score-the-highly-rated-beats-solo-3-headphones-for-less-than-100/,https://www.cnet.com/a/img/resize/877c7e603c0069386b47b9a726d5e6a15b9794a0/hub/2024/10/04/43869673-d369-4ddc-8ac7-04c11db3cbce/beats-solo-3-cnet.png?auto=webp&fit=crop&height=675&width=1200,2024-10-11T19:39:00Z,"If there's one name you'll consistently see on CNET's favorite headphones list, it's Beats. Combining a popular sound signature and great aesthetics makes them regular chart-toppers for music lovers.… [+1229 chars]",,CNET
81,Reuters,Apple launches new iPad mini with AI features,"The new iPad mini is powered by Apple's A17 Pro chip, which is used in the iPhone 15 Pro and Pro Max models.  With a six-core central processing unit, the...",https://finance.yahoo.com/news/apple-launches-ipad-mini-ai-145518525.html,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo.png,2024-10-15T14:55:18Z,"(Reuters) - Apple on Tuesday launched its new generation of the iPad mini packed with AI features including writing tools and an improved Siri assistant, as the iPhone maker races to boost its device… [+1437 chars]",,Yahoo Entertainment
82,,Apple announces new iPad mini geared towards Apple Intelligence,"iPad mini has Apple Intelligence, 8.3-inch Liquid Retina display, A17 Pro chip, supports Apple Pencil Pro and Apple Pencil (USB-C), in four colors.",https://www.apple.com/ipad-mini/,https://www.apple.com/v/ipad-mini/r/images/meta/ipad-mini_overview__ficvb3cxycmm_og.png?202410111432,2024-10-15T14:35:29Z,"The ultimate iPad experience with the most advanced technology.
Ultra Retina XDR display
ProMotion technology
P3 wide color
True Tone
Antireflective coating
Nano-texture display glass option on… [+947 chars]",,Apple Newsroom
83,derrek.lee@futurenet.com (Derrek Lee),"News Weekly: OnePlus 13 may borrow a popular iPhone feature, Apple TV Plus gets a new home, and more","This week, we get more OnePlus 13 teasers, Chromebooks may be losing Windows, and more.",https://www.androidcentral.com/phones/news-weekly-october-12-2024,https://cdn.mos.cms.futurecdn.net/uMRLDMQoTPhqLXwxR4hBdd-1200-80.jpg,2024-10-12T12:00:00Z,"(Image credit: Android Central)
News Weekly is our column where we highlight and summarize some of the week's top stories so you can catch up on the latest tech news.
This is Android Central's News… [+6273 chars]",,Android Central
84,Joe Rossignol,Some BMW Owners Experiencing Issues With Shared Car Keys on iOS 18,"Following the release of iOS 18 last month, some BMW owners have experienced issues with shared car keys in the Apple Wallet app, according to messages on the Apple Support Community and the largest BMW discussion forum.





Affected users said that the ""pas…",https://www.macrumors.com/2024/10/11/ios-18-bmw-apple-wallet-car-key-issue/,https://images.macrumors.com/t/bPzGoFi3WvdsBqKtOoxlj6fgQgE=/1600x/article-new/2022/06/bmw-digital-key-plus-wallet-app-car-key.jpg,2024-10-11T14:31:30Z,"Following the release of iOS 18 last month, some BMW owners have experienced issues with shared car keys in the Apple Wallet app, according to messages on the Apple Support Community and the largest … [+576 chars]",,MacRumors
85,insider@insider.com (Tyler Hayes),Apple AirPods 4 review: Solid noise-canceling for people who prefer an open fit that doesn't plug their ears,"AirPods 4 are available with or without active noise cancellation (ANC), but the ANC option stands out as a great alternative to the AirPods Pro.",https://www.businessinsider.com/guides/tech/apple-airpods-4-review,https://i.insider.com/670d7f016ac7b701e7caeeba?width=1200&format=jpeg,2024-10-14T20:56:02Z,"When you buy through our links, Business Insider may earn an affiliate commission. Learn more
The new AirPods 4 are the most significant entry in Apple's earbuds lineup since the original model laun… [+11022 chars]",business-insider,Business Insider
86,,"""Bad Apple"" in Minecraft","Demoscene is the art of pushing computers to perform tasks weren’t designed to handle. One recurring theme in demoscene is the shadow-art animation “Bad Apple!!”. We’ve played it on the Commodore 64, Vectrex (a unique game console utilizing only vector graphi…",https://purplesyringa.moe/blog/we-built-the-best-bad-apple-in-minecraft/,https://purplesyringa.moe/blog/we-built-the-best-bad-apple-in-minecraft/og.png,2024-10-10T13:02:36Z,"We built the best ""Bad Apple!!"" in Minecraft
October 10, 2024 Hacker NewsDemoscene is the art of pushing computers to perform tasks werent designed to handle. One recurring theme in demoscene is the… [+33134 chars]",,Purplesyringa.moe
87,Mitchel Broussard,"All-Time Low Prices Hit 14-Inch M3 MacBook Pro, Available From $1,299","Today we're tracking a pair of discounts on Apple's 14-inch M3 MacBook Pro at Amazon and Best Buy. These deals include $300 off original prices of the 512GB and 1TB models, and both match the all-time low price on each model.



Note: MacRumors is an affiliat…",https://www.macrumors.com/2024/10/15/14-inch-m3-macbook-pro-low-prices/,https://images.macrumors.com/t/CU0FiTMwDka0IOYrc58d3zD9bJ0=/2500x/article-new/2024/08/macbook-pro-blue-green.jpg,2024-10-15T14:54:32Z,"Today we're tracking a pair of discounts on Apple's 14-inch M3 MacBook Pro at Amazon and Best Buy. These deals include $300 off original prices of the 512GB and 1TB models, and both match the all-tim… [+798 chars]",,MacRumors
88,Tim Hardwick,iPhone 18 to Use Enhanced 2nm Chip Tech Integrating 12GB RAM,"Apple's 2026 iPhones will use TSMC's next-generation 2-nanometer fabrication process in combination with a new packaging method that will integrate 12GB of RAM, a reputable source of accurate predictions about Apple's plans has claimed.





In a Weibo post o…",https://www.macrumors.com/2024/10/15/iphone-18-enhanced-2nm-chip-12gb-ram/,https://images.macrumors.com/t/IVZhzM2GRs4phrpsKPH_q1To7UI=/1920x/article-new/2020/10/Apple-Silicon-Teal-Feature.jpg,2024-10-15T10:45:09Z,"Apple's 2026 iPhones will use TSMC's next-generation 2-nanometer fabrication process in combination with a new packaging method that will integrate 12GB of RAM, a reputable source of accurate predict… [+3017 chars]",,MacRumors
89,Gizmodo Deals,"Prime Day: Amazon is Not Done Yet, Here Are the 10 Best Deals for This Thursday",Amazon aims to capitalize on the Prime Day momentum by continuing to provide substantial discounts across a wide range of products in its inventory.,https://gizmodo.com/prime-day-amazon-is-not-done-yet-here-are-the-10-best-deals-for-this-thursday-2000510289,https://gizmodo.com/app/uploads/2024/10/prime-day-amazon-october-24.jpg,2024-10-10T12:36:45Z,"As the dust settles on Amazon’s Prime Day event, shoppers are discovering that the deals aren’t over just yet. While the official event has concluded, a treasure trove of discounts remains for those … [+3831 chars]",,Gizmodo.com
